Graph_N1500_D10
A graph with 1500 nodes and a max degree of 10
10
AAA:ARO,AWE,BEJ,BEQ,BPI,BVC,BYY,CEC,CEZ,CFR
AAB:AAH,ACH,AFX,AHA,AUB,AVY,BDD,BIZ,BWA,CDP
AAC:AFQ,ANW,BGA,BGH,BGV,BMI,BNJ,BRG,CDC,CEZ
AAD:ABL,AOO,AWZ,BBR,BGV,BLH,BMP,BNN,BOS,CBJ
AAE:ABT,AGC,APO,AYS,BEE,BKK,BKO,BLR,BSQ,CAL
AAF:AHD,AIU,AZI,BHX,BLD,BPM,BVY,CCJ,CDI,CEC
AAG:AMC,APQ,AWP,BJI,BKG,BPW,BVL,BVT,BYW,CFN
AAH:AAB,ACB,AGH,AGM,AHX,AVE,AWF,BFO,BKT,BYI
AAI:ABM,ACY,AGM,AIQ,AKJ,BFD,BGT,BHR,BMQ,BTG
AAJ:AAN,AAX,ARX,ATW,AYG,BIR,BKZ,BOF,CDH,CDU
AAK:AES,ANU,ASD,AXV,BJU,BMS,BPO,BQN,BRM,BXJ
AAL:AAZ,AJN,AJR,ASX,BCH,BGA,BOU,BTG,BWJ,BWO
AAM:AFY,ANT,AOH,BCB,BIH,BKQ,BRU,BRX,CAH,CAV
AAN:AAJ,ACS,AIH,AJV,AOJ,AQF,AQW,ATL,AUA,BTZ
AAO:ACI,AEU,AKN,ANU,ARG,ASD,BEB,BJL,BMK,BSW
AAP:ACQ,AUM,BCR,BGA,BHW,BJV,CCX,CEB,CEQ,CEX
AAQ:ACV,ADG,ALR,AML,ATE,BMI,BSD,BZT,CCD,CED
AAR:ACY,AKM,AME,APT,BHO,BOK,BQH,BZG,CCY,CFH
AAS:ADB,AEV,AGK,AVP,AWV,BHH,BHT,BJR,BRZ,BXB
AAT:ALP,AMA,AMM,BBF,BCA,BER,BHD,BLT,BRA,BUP
AAU:ADT,ADY,AFL,AHU,AQX,ATA,AVP,BOO,BSZ,CAF
AAV:ABN,AZU,BCQ,BJR,BKT,BLO,BPO,BXP,BZE,CES
AAW:AEK,AHH,AHJ,ALS,AYT,BDR,BKJ,BNK,BSE,BYK
AAX:AAJ,AOC,AOV,AYM,BCE,BDD,BKN,BPR,BSN,BUY
AAY:AFB,ALV,AVY,AZF,BMB,BMD,BMU,BXF,CAI,CAN
AAZ:AAL,ABT,AQQ,AWJ,BFK,BGA,BWN,CCM,CEB,CEO
ABA:ANO,AUQ,AZH,BDK,BHA,BIU,BJD,BUO,BXK,CAO
ABB:ABJ,AGN,AGQ,AJK,ARJ,ARW,BGC,BGG,CDE,CEY
