Graph_N5000_D5
A graph with 5000 nodes and a max degree of 5
5
AAA:CPG,DAT,GWC,GXR,HKH
AAB:CAV,COB,DSL,FEH,FQR
AAC:APB,BNY,BUQ,DPV,ERQ
AAD:BFF,EXY,GBE,GBW,GTJ
AAE:CKY,CPE,DTL,GEJ,HFB
AAF:AHJ,CKU,DVL,DWB,GEO
AAG:DQT,EAP,EVD,FAF,FCP
AAH:AZK,DQW,DTG,GDC,HHD
AAI:DAZ,DED,DYC,EXI,HDR
AAJ:CGN,DIO,EIK,FHZ,GPN
AAK:BHV,EIW,EJZ,FOS,GFZ
AAL:BBJ,CWT,FML,FNB,HGA
AAM:CAP,CHW,EAS,ECH,FSF
AAN:ANJ,DEM,DZZ,GCI,HIJ
AAO:DDN,DDS,DKS,EGX,EPO
AAP:ACD,DXY,EXX,FKE,GZK
AAQ:AID,CFV,CMJ,DVN,HJR
AAR:AJB,ESI,FGP,FUP,GVE
AAS:AOR,DFE,EWD,GNJ,GTW
AAT:AXY,BJD,CFZ,FCE,FPF
AAU:ANO,CQE,EDC,GGL,HHO
AAV:ATD,AWV,AYH,BLF,EPD
AAW:BJX,DTF,GJI,GSD,GVW
AAX:BCA,BEM,COG,DWT,EBP
AAY:ATC,AYZ,BHT,BJG,CEZ
AAZ:APE,AWM,EBO,FXH,GRP
ABA:BNC,COZ,DGY,GAG,GIZ
ABB:CDI,EYF,GHM,GMO,GRH
ABC:AIW,CIH,ESW,FNR,GJF
ABD:ANG,DJQ,GOV,HCL,HJW
ABE:AJS,CGI,DRQ,EBQ,GYA
ABF:APQ,BJV,DIT,EDE,GWZ
ABG:BDW,BWP,DZG,EQS,GNY
ABH:BMX,BYM,CIR,EDN,HEL
ABI:AKJ,BSG,CIM,EEF,HHT
ABJ:AKP,BHA,CYI,EIB,FGW
ABK:BEF,CFM,FIR,GUL,GZC
ABL:CER,EKP,EVN,FUA,GYK
ABM:AWA,BOK,BZE,CCZ,GKJ
ABN:EAP,EKA,FJV,GJX,GLW
ABO:ASJ,BOW,CYQ,DEF,DKA
ABP:CBJ,EBH,EIY,FQP,GOY
ABQ:ADY,BPN,DGZ,GHX,HCK
ABR:FZR,GJK,GRW,GXG,HFM
ABS:ADY,DAY,DRZ,FSW,HDC
ABT:BDA,CGL,CNH,CTO,HHQ
ABU:AJC,BGL,DAL,GJT,GTD
ABV:BGZ,EEJ,FYZ,GQQ,GUH
ABW:AMI,ANQ,EIO,FGX,GWF
ABX:BTR,CHW,DEQ,FIK,GYM
ABY:BET,CFW,CSW,DQR,GFJ
ABZ:AID,BYM,GPA,HAR,HHS
ACA:AZC,EAC,EAL,HCX,HER
ACB:BTS,CYV,DJS,GEX,GYJ
ACC:AXL,CMO,CYQ,DGM,GVB
ACD:AAP,ADZ,BHZ,FSH,HFM
